timestamp,gpu_idx,util_pct,mem_used_mib
2026/05/20 04:52:53.785, 1, 0, 3732
2026/05/20 04:53:08.856, 0, 88, 9790
2026/05/20 04:53:08.859, 1, 0, 3732
2026/05/20 04:53:23.925, 0, 89, 9790
2026/05/20 04:53:23.928, 1, 0, 3732
2026/05/20 04:53:38.997, 0, 89, 9790
2026/05/20 04:53:39.003, 1, 0, 3732
2026/05/20 04:53:54.073, 0, 49, 9790
2026/05/20 04:53:54.078, 1, 0, 3732
2026/05/20 04:54:09.167, 0, 98, 9790
2026/05/20 04:54:09.170, 1, 0, 3732
2026/05/20 04:54:24.236, 0, 49, 9790
2026/05/20 04:54:24.241, 1, 0, 3732
2026/05/20 04:54:39.346, 0, 88, 9790
2026/05/20 04:54:39.349, 1, 0, 3732
2026/05/20 04:54:54.437, 0, 89, 9790
2026/05/20 04:54:54.441, 1, 0, 3732
2026/05/20 04:55:09.527, 0, 89, 9790
2026/05/20 04:55:09.531, 1, 0, 3732
2026/05/20 04:55:24.640, 0, 92, 9790
2026/05/20 04:55:24.646, 1, 0, 3732
2026/05/20 04:55:39.750, 0, 79, 9790
2026/05/20 04:55:39.755, 1, 0, 3732
2026/05/20 04:55:54.843, 0, 44, 9790
2026/05/20 04:55:54.849, 1, 0, 3732
2026/05/20 04:56:09.919, 0, 98, 9790
2026/05/20 04:56:09.925, 1, 0, 3732
2026/05/20 04:56:25.012, 0, 98, 9790
2026/05/20 04:56:25.017, 1, 0, 3732
2026/05/20 04:56:40.107, 0, 13, 9790
2026/05/20 04:56:40.112, 1, 0, 3732
2026/05/20 04:56:55.186, 0, 88, 9790
2026/05/20 04:56:55.189, 1, 0, 3732
2026/05/20 04:57:10.275, 0, 89, 9790
2026/05/20 04:57:10.281, 1, 0, 3732
2026/05/20 04:57:25.347, 0, 73, 9790
2026/05/20 04:57:25.350, 1, 0, 3732
2026/05/20 04:57:40.416, 0, 98, 9790
2026/05/20 04:57:40.418, 1, 0, 3732
