episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
353,36.66553219,-3.19295230,38.22865990,36.63763032,-3.19295230,38.22865990,,,
354,36.66807284,-3.19295230,38.22865990,36.63864658,-3.19295230,38.22865990,,,
355,36.66806149,-3.19295230,38.22865990,36.64083445,-3.19295230,38.22865990,,,
356,36.66806149,-3.19295230,38.22865990,36.64083445,-3.19295230,38.22865990,,,
357,36.66799268,-3.19295230,38.22865990,36.64235630,-3.19295230,38.22865990,,,
358,36.66546240,-3.19295230,38.22865990,36.64286924,-3.19295230,38.22865990,,,
359,36.66290052,-3.19295230,38.22865990,36.64337991,-3.19295230,38.22865990,,,
360,36.65777758,-3.19295230,38.22865990,36.64236365,-3.19295230,38.22865990,,,
361,36.66618480,-3.19295230,38.22865990,36.64505711,-3.19295230,38.22865990,,,
362,36.66108983,-3.19295230,38.22865990,36.64505711,-3.19295230,38.22865990,,,
363,36.67201648,-3.19295230,38.22865990,36.64622618,-3.19295230,38.22865990,,,
364,36.67708965,-3.19295230,38.22865990,36.64572058,-3.19295230,38.22865990,,,
365,36.68217095,-3.19295230,38.22865990,36.64521519,-3.19295230,38.22865990,,,
366,36.67958612,-3.19295230,38.22865990,36.64521519,-3.19295230,38.22865990,,,
367,36.67959980,-3.19295230,38.22865990,36.64252446,-3.19295230,38.22865990,,,
368,36.68469477,-3.19295230,38.22865990,36.64201907,-3.19295230,38.22865990,,,
369,36.68469477,-3.19295230,38.22865990,36.64303513,-3.19295230,38.22865990,,,
370,36.68217534,-3.19295230,38.22865990,36.64303513,-3.19295230,38.22865990,,,
371,36.68729154,-3.19295230,38.22865990,36.64456225,-3.19295230,38.22865990,,,
372,37.37180639,37.06990072,38.22865990,36.64674489,-3.19295230,38.22865990,,,
373,37.37684564,37.06990072,38.22865990,36.64776115,-3.19295230,38.22865990,,,
374,37.37684564,37.06990072,38.22865990,36.64776115,-3.19295230,38.22865990,,,
375,37.37431768,37.06990072,38.22865990,36.64994902,-3.19295230,38.22865990,,,
376,37.37938630,37.06990072,38.22865990,36.64994902,-3.19295230,38.22865990,,,
377,37.38446760,37.06990072,38.22865990,36.64944343,-3.19295230,38.22865990,,,
378,37.37357767,37.06990072,38.22865990,36.64726544,-3.19295230,38.22865990,,,
379,37.38122044,37.06990072,38.22865990,36.64828333,-3.19295230,38.22865990,,,
380,37.38631344,37.06990072,38.22865990,36.64981279,-3.19295230,38.22865990,,,
381,37.37865875,37.06990072,38.22865990,36.64879400,-3.19295230,38.22865990,,,
382,37.37613893,37.06990072,38.22865990,36.64930232,-3.19295230,38.22865990,,,
383,37.37870361,37.06990072,38.22865990,36.64828645,-3.19295230,38.22865990,,,
384,37.37867213,37.06990072,38.22865990,36.64813618,-3.19295230,38.22865990,,,
385,37.37613863,37.06990072,38.22865990,36.64595077,-3.19295230,38.22865990,,,
386,37.37105733,37.06990072,38.22865990,36.64442384,-3.19295230,38.22865990,,,
387,37.37613009,37.06990072,38.22865990,36.64391825,-3.19295230,38.22865990,,,
388,37.37694748,37.06990072,38.22865990,36.64408173,-3.19295230,38.22865990,,,
389,37.39045683,37.06990072,38.22865990,36.64409014,-3.19295230,38.22865990,,,
390,37.38281406,37.06990072,38.22865990,36.64409014,-3.19295230,38.22865990,,,
391,37.38029423,37.06990072,38.22865990,36.64511056,-3.19295230,38.22865990,,,
392,37.38026626,37.06990072,38.22865990,36.64612956,-3.19295230,38.22865990,,,
393,36.70414053,-3.19118329,38.22865990,36.51192594,-3.19295230,38.22865990,,,
394,36.70922183,-3.19118329,38.22865990,36.51461940,-3.19295230,38.22865990,,,
395,36.72270182,-3.19118329,38.22865990,36.51731540,-3.19295230,38.22865990,,,
396,36.71766315,-3.19118329,38.22865990,36.51630579,-3.19295230,38.22865990,,,
397,36.70926348,-3.19118329,38.22865990,36.51630579,-3.19295230,38.22865990,,,
398,36.70927617,-3.19118329,38.22865990,36.51732732,-3.19295230,38.22865990,,,
399,36.71437093,-3.19118329,38.22865990,36.51834627,-3.19295230,38.22865990,,,
400,36.72531026,-3.19118329,38.22865990,36.52053414,-3.19295230,38.22865990,,,
401,36.71359874,-3.19118329,37.88046170,36.52205436,-3.19295230,38.22865990,,,
402,36.71364620,-3.19118329,37.88046170,36.52205944,-3.19295230,38.22865990,,,
403,36.71615334,-3.19118329,37.88046170,36.52357966,-3.19295230,38.22865990,,,
404,36.72705791,-3.19118329,37.88046170,36.52357525,-3.19295230,38.22865990,,,
405,36.71942228,-3.19118329,37.88046170,36.52357525,-3.19295230,38.22865990,,,
406,36.71354797,-3.19118329,37.88046170,36.52358195,-3.19295230,38.22865990,,,
407,36.71102100,-3.19118329,37.88046170,36.52424138,-3.19295230,38.22865990,,,
408,36.71358247,-3.19118329,37.88046170,36.52475367,-3.19295230,38.22865990,,,
409,36.71943559,-3.19118329,37.88046170,36.52475792,-3.19295230,38.22865990,,,
410,36.73036224,-3.19118329,37.88046170,36.52643258,-3.19295230,38.22865990,,,
411,36.72274029,-3.19118329,37.88046170,36.52643532,-3.19295230,38.22865990,,,
412,36.72857196,-3.19118329,37.88046170,36.52862065,-3.19295230,38.22865990,,,
413,36.73109993,-3.19118329,37.88046170,36.52861623,-3.19295230,38.22865990,,,
414,36.73109993,-3.19118329,37.88046170,36.52810393,-3.19295230,38.22865990,,,
415,36.72778254,-3.19118329,37.88046170,36.52962832,-3.19295230,38.22865990,,,
416,36.73541718,-3.19118329,37.88046170,36.53013626,-3.19295230,38.22865990,,,
417,36.73290190,-3.19118329,37.88046170,36.52896972,-3.19295230,38.22865990,,,
418,36.73797185,-3.19118329,37.88046170,36.53049665,-3.19295230,38.22865990,,,
419,36.74052064,-3.19118329,37.88046170,36.52998852,-3.19295230,38.22865990,,,
420,36.74560194,-3.19118329,37.88046170,36.53100478,-3.19295230,38.22865990,,,
421,36.73467529,-3.19118329,37.88046170,36.53151291,-3.19295230,38.22865990,,,
422,36.73471433,-3.19118329,37.88046170,36.52933058,-3.19295230,38.22865990,,,
423,36.72634102,-3.19118329,37.88046170,36.52714506,-3.19295230,38.22865990,,,
424,36.72383575,-3.19118329,37.88046170,36.52766280,-3.19295230,38.22865990,,,
425,36.71875445,-3.19118329,37.88046170,36.52766280,-3.19295230,38.22865990,,,
426,36.72384942,-3.19118329,37.88046170,36.52868180,-3.19295230,38.22865990,,,
427,36.73477509,-3.19118329,37.88046170,36.52868180,-3.19295230,38.22865990,,,
428,36.73731476,-3.19118329,37.88046170,36.52868433,-3.19295230,38.22865990,,,
429,36.73480559,-3.19118329,37.88046170,36.52920130,-3.19295230,38.22865990,,,
430,36.73994375,-3.19118329,37.88046170,36.52870180,-3.19295230,38.22865990,,,
431,36.73486245,-3.19118329,37.88046170,36.52651921,-3.19295230,38.22865990,,,
432,36.72650049,-3.19118329,37.88046170,36.52754028,-3.19295230,38.22865990,,,
433,36.72907505,-3.19118329,37.88046170,36.52637799,-3.19295230,38.22865990,,,
434,36.73419441,-3.19118329,37.88046170,36.52470840,-3.19295230,38.22865990,,,
435,36.72835004,-3.19118329,37.88046170,36.52353782,-3.19295230,38.22865990,,,
436,36.72837127,-3.19118329,37.88046170,36.52354206,-3.19295230,38.22865990,,,
437,36.73097760,-3.19118329,37.88046170,36.52355247,-3.19295230,38.22865990,,,
438,36.73605695,-3.19118329,37.88046170,36.52508381,-3.19295230,38.22865990,,,
439,36.73098020,-3.19118329,37.88046170,36.52559701,-3.19295230,38.22865990,,,
440,36.73096850,-3.19118329,37.88046170,36.52610514,-3.19295230,38.22865990,,,
441,36.75028115,-3.19118329,38.22865990,36.52727422,-3.19295230,38.22865990,,,
442,36.74770601,-3.19118329,38.22865990,36.52625379,-3.19295230,38.22865990,,,
443,36.75024344,-3.19118329,38.22865990,36.52625522,-3.19295230,38.22865990,,,
444,36.75027834,-3.19118329,38.22865990,36.52778913,-3.19295230,38.22865990,,,
445,36.75790351,-3.19118329,38.22865990,36.52931832,-3.19295230,38.22865990,,,
446,36.76889515,-3.19118329,38.22865990,36.53151412,-3.19295230,38.22865990,,,
447,36.77726847,-3.19118329,38.22865990,36.53420758,-3.19295230,38.22865990,,,
448,36.78482340,-3.19118329,38.22865990,36.53537157,-3.19295230,38.22865990,,,
449,36.77639535,-3.19118329,38.22865990,36.53537157,-3.19295230,38.22865990,,,
450,36.78149032,-3.19118329,38.22865990,36.53487034,-3.19295230,38.22865990,,,
451,36.78148219,-3.19118329,38.22865990,36.53588914,-3.19295230,38.22865990,,,
